Resistansi,Induktansi,Daya Aktif,Daya Reaktif,Tegangan Terminal,Arus Stator,Fasa Arus,Tegangan Fasa,Faktor Daya
10,"0,05","858,96","1.355,07","131,5","7,044","57,63","75,92","0,5354"
15,"0,075","576,23","929,37","133,9","4,715","58,2","77,31","0,5269"
20,"0,1","432,01","690,02","132,7","3,542","57,95","76,61","0,5306"
25,"0,125","346,64","547,69",132,"2,835","57,67","76,21","0,5348"
30,"0,15","289,34","456,63","131,8","2,368","57,64","76,09","0,5352"
35,"0,175","248,61","395,39","132,9","2,029","57,84","76,73","0,5323"
40,"0,2","217,78","343,70","132,2","1,777","57,64","76,33","0,5332"
45,"0,225","192,78","313,24","134,4","1,58","58,39","77,60","0,5241"
50,"0,25","173,89","273,80","131,6","1,423","57,58","75,98","0,5362"
55,"0,275","157,79","249,99","131,9","1,294","57,74","76,15","0,5337"
60,"0,3","145,61","229,71","132,4","1,186","57,63","76,44","0,5354"
65,"0,325","134,64","219,12","135,6","1,095","58,43","78,29","0,5235"
70,"0,35","124,62","198,74","133,3","1,016","57,91","76,96","0,5313"
75,"0,375","116,38","184,67","132,8","0,949","57,78","76,67","0,5332"
80,"0,4","108,92","172,83","132,6","0,8895","57,78","76,56","0,5332"
85,"0,425","102,66","164,03","133,4","0,8375","57,96","77,02","0,5305"
90,"0,45","96,70","153,20","132,2","0,7912","57,74","76,33","0,5338"
95,"0,475","91,74","145,63","132,6","0,7494","57,79","76,56","0,533"
100,"0,5","87,24","137,73","132,2","0,712","57,65","76,33","0,5351"
105,"0,525","83,03","131,59","132,5","0,678","57,75","76,50","0,5336"
110,"0,55","79,37","125,20","132,2","0,6474","57,63","76,33","0,5354"
115,"0,575","75,95","120,19","132,5","0,6195","57,71","76,50","0,5342"
120,"0,6","72,95","115,13","132,5","0,5939","57,64","76,50","0,5353"
125,"0,625","69,52","110,44","132,3","0,5695","57,81","76,38","0,5327"
130,"0,65","67,21","106,24","132,4","0,5482","57,68","76,44","0,5347"
135,"0,675","64,69","102,41","132,5","0,5278","57,72","76,50","0,534"
140,"0,7","62,22","98,50","132,2","0,5088","57,72","76,33","0,5368"
145,"0,725","60,45","96,51","133,8","0,4914","57,94","77,25","0,5308"
150,"0,75","55,60","93,57","132,3","0,475","59,28","76,38","0,5108"
155,"0,775","56,43","89,33","132,7","0,4597","57,72","76,61","0,5341"
160,"0,8","54,46","86,25","132,4","0,4448","57,73","76,44","0,5339"
165,"0,825","52,87","83,69","132,3","0,432","57,72","76,38","0,5341"
170,"0,85","51,15","81,45","132,5","0,4191","57,87","76,50","0,5318"
175,"0,875","50,04","78,73","132,3","0,4071","57,56","76,38","0,5365"
180,"0,9","48,56","76,90","132,7","0,3957","57,73","76,61","0,5339"
185,"0,925","47,37","75,98","134,2","0,3852","58,06","77,48","0,5291"
190,"0,95","46,07","72,46","132,2","0,375","57,55","76,33","0,5309"
195,"0,975","44,83","70,80","132,4","0,3654","57,66","76,44","0,535"
200,1,"43,65","68,88","132,1","0,3564","57,64","76,27","0,5352"
205,"1,025","42,70","67,20","132,2","0,3477","57,57","76,33","0,5363"
210,"1,05","41,70","65,72","132,4","0,3394","57,6","76,44","0,5358"
215,"1,075","40,66","64,07","132,2","0,3314","57,6","76,33","0,5358"
220,"1,1","39,83","63,32","133,3","0,324","57,83","76,96","0,5324"
225,"1,125","38,76","61,38","132,3","0,3168","57,73","76,38","0,5339"
230,"1,15","37,06","60,60","132,3","0,31","58,55","76,38","0,5218"
235,"1,175","37,27","58,54","132,1","0,3033","57,52","76,27","0,537"
240,"1,2","36,51","58,26","133,7","0,2969","57,93","77,19","0,5309"
245,"1,225","35,85","56,47","132,7","0,291","57,59","76,61","0,5331"
250,"1,25","34,99","55,20","132,3","0,2852","57,63","76,38","0,5354"
255,"1,275","34,06","53,71","132,6","0,2769","57,62","76,56","0,5355"
260,"1,3","33,67","52,99","132,2","0,2742","57,57","76,33","0,5363"
265,"1,325","33,04","52,15","132,5","0,269","57,64","76,50","0,5352"
270,"1,35","32,45","51,14","132,4","0,2641","57,6","76,44","0,5358"
275,"1,375","25,33","59,28","143,6","0,2592","66,86","82,91","0,393"
280,"1,4","31,31","49,23","132,3","0,2546","57,54","76,38","0,5367"
285,"1,425","30,70","48,49","132,5","0,2501","57,66","76,50","0,535"
290,"1,45","30,15","47,47","132,1","0,2458","57,58","76,27","0,5361"
295,"1,475","29,62","46,67","132,1","0,2416","57,6","76,27","0,5358"
300,"1,5","29,21","46,22","132,8","0,2377","57,71","76,67","0,5342"
305,"1,525","28,71","45,11","132,1","0,2337","57,52","76,27","0,537"
310,"1,55","28,22","45,73","134,9","0,23","58,32","77,88","0,5251"
315,"1,575","27,88","45,12","135,3","0,2263","58,29","78,12","0,5256"
320,"1,6","27,28","43,25","132,5","0,2228","57,76","76,50","0,5335"
325,"1,625","26,89","42,67","132,8","0,2193","57,78","76,67","0,5332"
330,"1,65","26,92","43,66","135,6","0,2184","58,34","78,29","0,5248"
335,"1,675","26,06","41,22","132,3","0,2128","57,7","76,38","0,5344"
340,"1,7","25,79","41,83","135,3","0,2097","58,34","78,12","0,5248"
345,"1,725","25,35","39,94","132,2","0,2066","57,6","76,33","0,5359"
350,"1,75","24,99","39,38","132,2","0,2037","57,6","76,33","0,5359"
355,"1,775","24,70","38,97","132,6","0,2009","57,63","76,56","0,5353"
360,"1,8","24,28","38,33","132,3","0,198","57,64","76,38","0,5352"
365,"1,825","23,98","38,35","133,7","0,1953","57,98","77,19","0,5302"
370,"1,85","23,66","37,21","132,1","0,1927","57,55","76,27","0,5366"
375,"1,875","23,33","38,15","135,8","0,1901","58,55","78,40","0,5218"
380,"1,9","22,95","36,49","132,6","0,1877","57,84","76,56","0,5323"
385,"1,925","22,57","36,05","132,6","0,1852","57,95","76,56","0,5307"
390,"1,95","22,38","35,33","132,1","0,1828","57,65","76,27","0,535"
395,"1,975","22,16","34,88","132,2","0,1805","57,57","76,33","0,5363"
400,2,"21,91","34,53","132,5","0,1782","57,61","76,50","0,5357"
405,"2,025","21,60","34,02","132,1","0,1761","57,59","76,27","0,5359"
410,"2,05","21,34","33,65","132,3","0,1739","57,62","76,38","0,5355"
415,"2,075","21,08","33,25","132,3","0,1718","57,62","76,38","0,5355"
420,"2,1","20,88","33,01","132,8","0,1698","57,69","76,67","0,5345"
425,"2,125","20,45","32,50","132,2","0,1677","57,83","76,33","0,5324"
430,"2,15","20,04","32,17",132,"0,1658","58,08","76,21","0,5288"
435,"2,175","20,10","31,66","132,1","0,1639","57,59","76,27","0,536"
440,"2,2","19,91","31,33","132,2","0,1621","57,56","76,33","0,5364"
445,"2,225","19,68","31,09","132,6","0,1602","57,66","76,56","0,535"
450,"2,25","19,39","31,13","133,7","0,1584","58,08","77,19","0,5288"
455,"2,275","19,24","30,29","132,2","0,1567","57,57","76,33","0,5363"
